W;Achfawar;;Speere und Stäbe											;1W+4;13/4;-1/0;0;4;S;;Speere;
M;Pechfackeln;fackeln00_LQ.gif;Illumination                             ;
M;Öllampe;oellampe00_LQ.gif;Illumination                                ;
M;Flöte;floete00_LQ.gif;Instrumente                                     ;
M;Geige;geige00_LQ.gif;Instrumente                                      ;
M;Laute;laute00_LQ.gif;Instrumente                                      ;
M;Vierblättrige Einbeere;einbeere00_LQ.gif;Kräuter                      ;
M;Wirselkraut;wirselkraut00_LQ.gif;Kräuter                              ;
M;Brecheisen;brecheisen00_LQ.gif;Werkzeuge                              ;
B;Phiolenkästchen;phiolenkaestchen00_LQ.gif;Kisten                      ;
B;Schmuckkästchen;schmuckkasten00_LQ.gif;Kisten                         ;
B;Zunderbüchse;zunderbuechse00_LQ.gif;Kisten                            ;
M;Kamm;kamm00_LQ.gif;Körperpflege                                       ;
M;Rasiermesser;rasiermesser00_LQ.gif;Körperpflege                       ;
M;Seife;seife00_LQ.gif;Körperpflege                                     ;
M;Proviant;proviant00_LQ.gif;Nahrung                                    ;
M;Hanfseil;seil00_LQ.gif;Reisebedarf                                    ;
M;Kletterseil;seil01_LQ.gif;Reisebedarf                                 ;
M;Wolldecke 3 x 9 Spann;wolldecke00_LQ.gif;Reisebedarf                  ;
M;Wolldecke 6 x 10 Spann;wolldecke01_LQ.gif;Reisebedarf                 ;
M;Wolldecke 6 x 9 Spann;wolldecke02_LQ.gif;Reisebedarf                  ;
M;Zweimannzelt;zelt00_LQ.gif;Reisebedarf                                ;
M;Schreibzeug;schreibzeug00_LQ.gif;Schreibwaren                         ;
M;Siegelstock mit Wachs;siegelstock_wachs01_LQ.gif;Sonstiges Rot        ;
M;Einbruchswerkzeug;einbrech00_LQ.gif;Werkzeuge                         ;
M;Haken;haken00_LQ.gif;Werkzeuge                                        ;
M;Nadel - Garn;nadel_garn00_LQ.gif;Werkzeuge                            ;
M;Nägel;naegel00_LQ.gif;Werkzeuge                                       ;
M;Schaufel;schaufel00_LQ.gif;Werkzeuge                                  ;
M;Strickleiter;strickleiter00_LQ.gif;Werkzeuge                          ;
M;Wurfhaken;wurfhaken00_LQ.gif;Werkzeuge                                ;
M;Blasrohrpfeile;blasrohrpfeile00_LQ.gif;Zubehör                        ;
M;Bolzen;bolzen01_LQ.gif;Zubehör                                        ;
B;Duftwasser 3 Flux;duftwasser00_LQ.gif;Flaschen                        ;
B;Feldflasche 1 Maß;feldflasche00_LQ.gif;Flaschen                       ;
B;Fläschchen 1 Schank;flaeschchen01_LQ.gif;Flaschen                     ;
B;Fläschchen ½ Schank;flaeschchen00_LQ.gif;Flaschen                     ;
B;Glasflasche 2 Schank;flasche00_LQ.gif;Flaschen                        ;
B;Lampenöl;lampenoel00_LQ.gif;Flaschen                                  ;
B;Phiole 5 Flux;phiole00_LQ.gif;Flaschen                                ;
B;Schnapsflasche 1 Schank;flasche_schnaps00_LQ.gif;Flaschen             ;
B;Trinkhorn 1 Schank;trinkhorn00_LQ.gif;Flaschen                        ;
B;Wasserschlauch (braun) 1 Maß;wasserschlauch02_LQ.gif;Flaschen         ;
B;Wasserschlauch 1 Maß;wasserschlauch00_LQ.gif;Flaschen                 ;
B;Wasserschlauch 5 Schank;wasserschlauch01_LQ.gif;Flaschen              ;
B;Korb für 20 Stein;korb00_LQ.gif;Kisten                                ;
B;Packkiste fasst 600 Unzen;packkiste00_LQ.gif;Kisten                   ;
B;Zunderkästchen;zunderkasten00_LQ.gif;Kisten                           ;
C;Lendenschurz;lendenschurz00_LQ.gif;Beine                              ;
C;Stulpenhandschuhe;handschuhe_stulpen00_LQ.gif;Handschuhe              ;
C;Lederhut;lederhut00_LQ.gif;Kopfbedeckung                              ;
B;Hüftköcher 20 Bolzen;koecher_hueft00_LQ.gif;Köcher                    ;
B;Hüftköcher 20 Pfeile;koecher_hueft01_LQ.gif;Köcher                    ;
B;Rückenköcher 20 Bolzen;koecher_ruecken01_LQ.gif;Köcher                ;
B;Rückenköcher 20 Pfeile;koecher_ruecken00_LQ.gif;Köcher                ;
B;Holzbecher;holzbecher00_LQ.gif;Sonstiges Grün                         ;
B;Tiegel aus Elfenbein;tiegel00_LQ.gif;Sonstiges Grün                   ;
B;Trinkpokal Zinn;trinkpokal00_LQ.gif;Sonstiges Grün                    ;
B;Gürtelrolle fasst 50 Unzen;guertelrolle00_LQ.gif;Taschen              ;
B;Gürteltasche;guerteltasche01_LQ.gif;Taschen                           ;
B;Gürteltasche fasst 40 Unzen;guerteltasche00_LQ.gif;Taschen            ;
B;Gürteltasche fasst 50 Unzen;guerteltasche01_LQ.gif;Taschen            ;
B;Heilkräuter;heilkraeuter00_LQ.gif;Taschen                             ;
B;Heilkräuter Groß;heilkraeuter01_LQ.gif;Taschen                        ;
B;Lederbeutel fasst 10 Unzen;beutel_leder01_LQ.gif;Taschen              ;
B;Lederbeutel fasst 15 Unzen;beutel_leder02_LQ.gif;Taschen              ;
B;Lederbeutel fasst 20 Unzen;beutel_leder00_LQ.gif;Taschen              ;
B;Lederranzen fasst 200 Unzen;lederranzen00_LQ.gif;Taschen              ;
B;Lederrucksack fasst 400 Unzen;rucksack_leder00_LQ.gif;Taschen         ;
B;Leinenbeutel fasst 10 Unzen;beutel_leinen00_LQ.gif;Taschen            ;
B;Phiolentasche;phiolentasche00_LQ.gif;Taschen                          ;
B;Satteltaschen fassen je 400 Unzen;satteltaschen00_LQ.gif;Taschen      ;
B;Umhängetasche (alt) fasst 50 Unzen;umhaengetasche04_LQ.gif;Taschen    ;
B;Umhängetasche (dunkel) fasst 300 Unzen;umhaengetasche01_LQ.gif;Taschen;
B;Umhängetasche fasst 300 Unzen;umhaengetasche00_LQ.gif;Taschen         ;
B;Umhängetasche fasst 40 Unzen;umhaengetasche03_LQ.gif;Taschen          ;
B;Umhängetasche fasst 50 Unzen;umhaengetasche02_LQ.gif;Taschen          ;
C;Hose;hose03_LQ.gif;Beine                                              ;
C;Kniehose Brokat;hose00_LQ.gif;Beine                                   ;
C;Leinenhose;hose01_LQ.gif;Beine                                        ;
C;Rock;rock00_LQ.gif;Beine                                              ;
C;Rock Seide;rock01_LQ.gif;Beine                                        ;
C;Lederhandschuhe;handschuhe_leder00_LQ.gif;Handschuhe                  ;
C;Lederhandschuhe (beige);handschuhe_leder01_LQ.gif;Handschuhe          ;
C;Lederhandschuhe (lang);handschuhe_leder02_LQ.gif;Handschuhe           ;
C;Barett;barett00_LQ.gif;Kopfbedeckung                                  ;
C;Filzhut;filzhut00_LQ.gif;Kopfbedeckung                                ;
C;Gugel;gugel00_LQ.gif;Kopfbedeckung                                    ;
C;Hut;hut01_LQ.gif;Kopfbedeckung                                        ;
C;Kappe;kappe01_LQ.gif;Kopfbedeckung                                    ;
C;Lederhut (alt);lederhut01_LQ.gif;Kopfbedeckung                        ;
C;Magierhut;magierhut00_LQ.gif;Kopfbedeckung                            ;
C;Schlapphut;schlapphut00_LQ.gif;Kopfbedeckung                          ;
C;Turban;turban00_LQ.gif;Kopfbedeckung                                  ;
C;Gehrock aus Wolle;gehrock00_LQ.gif;Mantel                             ;
C;Ledermantel;mantel_leder00_LQ.gif;Mantel                              ;
C;Reitermantel;reitermantel00_LQ.gif;Mantel                             ;
C;Umhang "Phexenslist";umhang00_LQ.gif;Mantel                           ;
C;Umhang (grün);umhang01_LQ.gif;Mantel                                  ;
C;Umhang aus Bärenfell;umhang04_LQ.gif;Mantel                           ;
C;Umhang aus Fell;umhang03_LQ.gif;Mantel                                ;
C;Umhang aus Wolle;umhang02_LQ.gif;Mantel                               ;
C;Umhang mit Kapuze;umhang05_LQ.gif;Mantel                              ;
C;Umhang mit Pelz;umhang06_LQ.gif;Mantel                                ;
C;Anaurak;anaurak00_LQ.gif;Oben                                         ;
C;Ballkleid;ballkleid00_LQ.gif;Oben                                     ;
C;Beschwöhrungsgewand;beschwoerung00_LQ.gif;Oben                        ;
C;Boronirobe Bishdariel;robe_boroni00_LQ.gif;Oben                       ;
C;Boronirobe Golgari;robe_boroni01_LQ.gif;Oben                          ;
C;Hexengewand;hexengewand00_LQ.gif;Oben                                 ;
C;Kleid;kleid00_LQ.gif;Oben                                             ;
C;Kleid kurz;kleid01_LQ.gif;Oben                                        ;
C;Robe;robe00_LQ.gif;Oben                                               ;
C;Robe aus Brokat;robe_brokat00_LQ.gif;Oben                             ;
C;Fellstiefel aus Bärenfell;stiefel_fell00_LQ.gif;Schuhe                ;
C;Fellstiefel aus Dachsfell;stiefel_fell01_LQ.gif;Schuhe                ;
C;Halbstiefel;stiefel_halb00_LQ.gif;Schuhe                              ;
C;Lederschuhe;schuhe00_LQ.gif;Schuhe                                    ;
C;Schnürstiefel;stiefel_schnuer00_LQ.gif;Schuhe                         ;
C;Spangenschuhe;schuhe_spangen00_LQ.gif;Schuhe                          ;
C;Stulpenstiefel (hellbraun);stiefel_stulpen01_LQ.gif;Schuhe            ;
C;Stulpenstiefel (rot);stiefel_stulpen00_LQ.gif;Schuhe                  ;
C;Stulpenstiefel aus Leder (braun);stiefel_stulpen02_LQ.gif;Schuhe      ;
C;Stulpenstiefel aus Leder (schwarz);stiefel_stulpen03_LQ.gif;Schuhe    ;
C;Axtgehänge;axtgehaenge01_LQ.gif;Sonstiges Grau                        ;
C;Axtgehänge klein;axtgehaenge00_LQ.gif;Sonstiges Grau                  ;
C;Axtgurt;axtgurt01_LQ.gif;Sonstiges Grau                               ;
C;Axtgurt klein;axtgurt00_LQ.gif;Sonstiges Grau                         ;
C;Dolchscheide (braun);scheide_dolch01_LQ.gif;Sonstiges Grau            ;
C;Dolchscheide (hellbraun);scheide_dolch00_LQ.gif;Sonstiges Grau        ;
C;Dolchscheide (schwarz);scheide_dolch02_LQ.gif;Sonstiges Grau          ;
C;Ledergürtel (grün);lederguertel00_LQ.gif;Sonstiges Grau               ;
C;Ledergürtel (kurz);lederguertel02_LQ.gif;Sonstiges Grau               ;
C;Ledergürtel (lang);lederguertel01_LQ.gif;Sonstiges Grau               ;
C;Lendentuch;lendentuch00_LQ.gif;Sonstiges Grau                         ;
C;Rückengurt (blau);rueckengurt01_LQ.gif;Sonstiges Grau                 ;
C;Rückengurt (braun);rueckengurt00_LQ.gif;Sonstiges Grau                ;
C;Rückengurt mit Gürtel (braun);rueckengurt_guertel00_LQ.gif;Sonstiges Grau;
C;Rückengurt mit Gürtel (schwarz);rueckengurt_guertel01_LQ.gif;Sonstiges Grau;
C;Schwertgurt;schwertgurt00_LQ.gif;Sonstiges Grau                       ;
C;Strümpfe;struempfe00_LQ.gif;Sonstiges Grau                            ;
C;Bluse aus Leinen;bluse01_LQ.gif;Torso                                 ;
C;Bluse aus Samt (rot);bluse03_LQ.gif;Torso                             ;
C;Bluse aus Samt (schwarz);bluse02_LQ.gif;Torso                         ;
C;Bluse aus Samt (violett);bluse04_LQ.gif;Torso                         ;
C;Bluse aus Seide;bluse00_LQ.gif;Torso                                  ;
C;Brokatweste;weste00_LQ.gif;Torso                                      ;
C;Firnelfische Jacke;jacke_firnelf00_LQ.gif;Torso                       ;
C;Hemd - Wams;hemd_wams00_LQ.gif;Torso                                  ;
C;Hemd - Weste;hemd_weste00_LQ.gif;Torso                                ;
C;Hemd aus Leinen;hemd_leinen01_LQ.gif;Torso                            ;
C;Hemd aus Leinen (alt);hemd_leinen00_LQ.gif;Torso                      ;
C;Hemd aus Seiden;hemd_seide01_LQ.gif;Torso                             ;
C;Hemd aus Seiden (schwarz);hemd_seide02_LQ.gif;Torso                   ;
C;Hemd aus Seiden mit Kragen;hemd_seide00_LQ.gif;Torso                  ;
C;Hemd aus Wolle;hemd_wolle00_LQ.gif;Torso                              ;
C;Jacke aus Bausch;jacke00_LQ.gif;Torso                                 ;
C;Tunika;tunika00_LQ.gif;Torso                                          ;
C;Wappenrock;wappenrock00_LQ.gif;Torso                                  ;
C;Wappenrock Brokat;wappenrock01_LQ.gif;Torso                           ;
C;Weste;weste02_LQ.gif;Torso                                            ;
C;Weste Brokat;weste00_LQ.gif;Torso                                     ;
X;Alchemistenschale;alchemistenschale00_LQ.gif;magische Artefakte       ;
X;Drachenei;drachenei00_LQ.gif;magische Artefakte                       ;
X;Knochenhelm;knochenhelm00_LQ.gif;magische Artefakte                   ;
X;Kristallkugel;kristallkugel00_LQ.gif;magische Artefakte               ;
X;Paradiesvogelfeder;paradies00_LQ.gif;magische Artefakte               ;
X;Tsas Weidenstab;weidenstab00_LQ.gif;magische Artefakte                ;
X;Amulett aus Stoff;amulett03_LQ.gif;Schmuck                            ;
X;Amulett Drachen;amulett07_LQ.gif;Schmuck                              ;
X;Amulett mit Bild;amulett06_LQ.gif;Schmuck                             ;
X;Amulett Pentagramm;amulett01_LQ.gif;Schmuck                           ;
X;Amulett Ring;amulett05_LQ.gif;Schmuck                                 ;
X;Amulett Stern;amulett02_LQ.gif;Schmuck                                ;
X;Amulett Wirbel;amulett04_LQ.gif;Schmuck                               ;
X;Armreif aus Messing;armreif00_LQ.gif;Schmuck                          ;
X;Armreif aus Silber;armreif01_LQ.gif;Schmuck                           ;
X;Armreif aus Silber (leicht);armreif02_LQ.gif;Schmuck                  ;
X;Armreif aus Silber&Gold;armreif03_LQ.gif;Schmuck                      ;
X;Blattohrringe aus Silber;ohrringe00_LQ.gif;Schmuck                    ;
X;Phex-Amulett;phexamulett00_LQ.gif;Schmuck                             ;
X;Ring aus Gold;ring00_LQ.gif;Schmuck                                   ;
X;Ring aus Silber;ring01_LQ.gif;Schmuck                                 ;
X;Ringe aus Gold;ring02_LQ.gif;Schmuck                                  ;
X;Schlüssel;schluessel00_LQ.gif;Sonstiges Blau                          ;
